"id","age","job","marital","education","default_credit","housing_loan","personal_loan","contact","month","day","duration","campaign","prev_days","prev_num_contact","prev_outcome","decision"
"1","56","housemaid","married","basic","no","no","no","telephone","may","mon","261","1","999","0","nonexistent","no"
"2","57","services","married","high school","no","no","no","telephone","may","mon","149","1","999","0","nonexistent","no"
"3","37","services","married","high school","no","yes","no","telephone","may","mon","226","1","999","0","nonexistent","no"
"4","40","admin","married","basic","no","no","no","telephone","may","mon","151","1","999","0","nonexistent","no"
"5","56","services","married","high school","no","no","yes","telephone","may","mon","307","1","999","0","nonexistent","no"
"6","45","services","married","basic","no","no","no","telephone","may","mon","198","1","999","0","nonexistent","no"
"7","59","admin","married","professional degree","no","no","no","telephone","may","mon","139","1","999","0","nonexistent","no"
"8","41","blue-collar","married","university degree","no","no","no","telephone","may","mon","217","1","999","0","nonexistent","no"
"9","24","technician","single","professional degree","no","yes","no","telephone","may","mon","380","1","999","0","nonexistent","no"
"10","25","services","single","high school","no","yes","no","telephone","may","mon","50","1","999","0","nonexistent","no"
"11","41","blue-collar","married","university degree","no","no","no","telephone","may","mon","55","1","999","0","nonexistent","no"
"12","25","services","single","high school","no","yes","no","telephone","may","mon","222","1","999","0","nonexistent","no"
"13","29","blue-collar","single","high school","no","no","yes","telephone","may","mon","137","1","999","0","nonexistent","no"
"14","57","housemaid","divorced","basic","no","yes","no","telephone","may","mon","293","1","999","0","nonexistent","no"
"15","35","blue-collar","married","basic","no","yes","no","telephone","may","mon","146","1","999","0","nonexistent","no"
"16","54","retired","married","basic","no","yes","yes","telephone","may","mon","174","1","999","0","nonexistent","no"
"17","35","blue-collar","married","basic","no","yes","no","telephone","may","mon","312","1","999","0","nonexistent","no"
"18","46","blue-collar","married","basic","no","yes","yes","telephone","may","mon","440","1","999","0","nonexistent","no"
"19","50","blue-collar","married","basic","no","yes","yes","telephone","may","mon","353","1","999","0","nonexistent","no"
"20","39","management","single","basic","no","no","no","telephone","may","mon","195","1","999","0","nonexistent","no"
"21","30","unemployed","married","high school","no","no","no","telephone","may","mon","38","1","999","0","nonexistent","no"
"22","55","blue-collar","married","basic","no","yes","no","telephone","may","mon","262","1","999","0","nonexistent","no"
"23","55","retired","single","high school","no","yes","no","telephone","may","mon","342","1","999","0","nonexistent","no"
"24","41","technician","single","high school","no","yes","no","telephone","may","mon","181","1","999","0","nonexistent","no"
"25","37","admin","married","high school","no","yes","no","telephone","may","mon","172","1","999","0","nonexistent","no"
"26","35","technician","married","university degree","no","no","yes","telephone","may","mon","99","1","999","0","nonexistent","no"
"27","59","technician","married","university degree","no","yes","no","telephone","may","mon","93","1","999","0","nonexistent","no"
"28","39","self-employed","married","basic","no","no","no","telephone","may","mon","233","1","999","0","nonexistent","no"
"29","54","technician","single","university degree","no","no","no","telephone","may","mon","255","2","999","0","nonexistent","no"
"30","55","self-employed","married","university degree","no","no","no","telephone","may","mon","362","1","999","0","nonexistent","no"
"31","46","admin","married","university degree","no","no","no","telephone","may","mon","348","1","999","0","nonexistent","no"
"32","59","technician","married","university degree","no","yes","no","telephone","may","mon","386","1","999","0","nonexistent","no"
"33","49","blue-collar","married","university degree","no","no","no","telephone","may","mon","73","1","999","0","nonexistent","no"
"34","54","management","married","basic","no","yes","no","telephone","may","mon","230","1","999","0","nonexistent","no"
"35","54","blue-collar","divorced","basic","no","no","no","telephone","may","mon","208","1","999","0","nonexistent","no"
"36","55","self-employed","married","basic","no","yes","no","telephone","may","mon","336","1","999","0","nonexistent","no"
"37","34","services","married","high school","no","no","no","telephone","may","mon","365","1","999","0","nonexistent","no"
"38","52","technician","married","basic","no","yes","no","telephone","may","mon","1666","1","999","0","nonexistent","no"
"39","41","admin","married","university degree","no","yes","no","telephone","may","mon","577","1","999","0","nonexistent","no"
"40","56","technician","married","basic","no","yes","no","telephone","may","mon","137","1","999","0","nonexistent","no"
"41","58","management","single","university degree","no","yes","no","telephone","may","mon","366","1","999","0","nonexistent","no"
"42","32","entrepreneur","married","high school","no","yes","no","telephone","may","mon","314","1","999","0","nonexistent","no"
"43","38","admin","single","professional degree","no","no","no","telephone","may","mon","160","1","999","0","nonexistent","no"
"44","57","admin","married","university degree","no","no","yes","telephone","may","mon","212","1","999","0","nonexistent","no"
"45","44","admin","married","university degree","no","yes","no","telephone","may","mon","188","1","999","0","nonexistent","no"
"46","42","technician","single","professional degree","no","no","no","telephone","may","mon","22","1","999","0","nonexistent","no"
"47","57","admin","married","university degree","no","yes","yes","telephone","may","mon","616","1","999","0","nonexistent","no"
"48","40","blue-collar","married","basic","no","no","yes","telephone","may","mon","178","1","999","0","nonexistent","no"
"49","35","admin","married","university degree","no","yes","no","telephone","may","mon","355","1","999","0","nonexistent","no"
"50","45","blue-collar","married","basic","no","yes","no","telephone","may","mon","225","2","999","0","nonexistent","no"
"51","54","admin","married","high school","no","no","no","telephone","may","mon","160","1","999","0","nonexistent","no"
"52","39","housemaid","married","basic","no","no","yes","telephone","may","mon","266","1","999","0","nonexistent","no"
"53","60","admin","married","high school","no","no","no","telephone","may","mon","253","1","999","0","nonexistent","no"
"54","53","admin","single","professional degree","no","no","no","telephone","may","mon","179","1","999","0","nonexistent","no"
"55","55","blue-collar","married","basic","no","no","no","telephone","may","mon","269","2","999","0","nonexistent","no"
"56","55","technician","married","professional degree","no","yes","no","telephone","may","mon","135","1","999","0","nonexistent","no"
"57","50","management","married","university degree","no","no","yes","telephone","may","mon","161","1","999","0","nonexistent","no"
"58","45","services","married","high school","no","yes","no","telephone","may","mon","787","1","999","0","nonexistent","no"
"59","55","unemployed","married","professional degree","no","yes","yes","telephone","may","mon","145","1","999","0","nonexistent","no"
"60","25","technician","single","university degree","no","yes","no","telephone","may","mon","174","1","999","0","nonexistent","no"
"61","47","entrepreneur","married","university degree","no","no","no","telephone","may","mon","449","1","999","0","nonexistent","no"
"62","51","blue-collar","married","basic","no","yes","no","telephone","may","mon","812","1","999","0","nonexistent","no"
"63","42","blue-collar","married","basic","no","yes","no","telephone","may","mon","164","1","999","0","nonexistent","no"
"64","42","blue-collar","married","basic","no","no","no","telephone","may","mon","366","1","999","0","nonexistent","no"
"65","48","admin","married","high school","no","no","no","telephone","may","mon","357","1","999","0","nonexistent","no"
"66","37","admin","married","university degree","no","no","no","telephone","may","mon","232","1","999","0","nonexistent","no"
"67","44","blue-collar","single","basic","no","yes","no","telephone","may","mon","91","1","999","0","nonexistent","no"
"68","33","admin","married","university degree","no","yes","no","telephone","may","mon","273","1","999","0","nonexistent","no"
"69","56","admin","married","basic","no","yes","no","telephone","may","mon","158","2","999","0","nonexistent","no"
"70","44","blue-collar","single","basic","no","yes","yes","telephone","may","mon","177","1","999","0","nonexistent","no"
"71","41","management","married","basic","no","no","no","telephone","may","mon","200","1","999","0","nonexistent","no"
"72","44","management","divorced","university degree","no","yes","no","telephone","may","mon","172","1","999","0","nonexistent","no"
"73","47","admin","married","university degree","no","yes","no","telephone","may","mon","176","1","999","0","nonexistent","no"
"74","37","admin","married","university degree","no","yes","no","telephone","may","mon","214","1","999","0","nonexistent","no"
"75","41","blue-collar","divorced","basic","no","yes","no","telephone","may","mon","1575","1","999","0","nonexistent","yes"
"76","55","technician","married","university degree","no","no","no","telephone","may","mon","349","1","999","0","nonexistent","no"
"77","33","services","married","high school","no","yes","no","telephone","may","mon","337","2","999","0","nonexistent","no"
"78","55","management","married","university degree","no","yes","no","telephone","may","mon","272","1","999","0","nonexistent","no"
"79","42","blue-collar","married","basic","no","no","no","telephone","may","mon","208","1","999","0","nonexistent","no"
"80","50","blue-collar","married","basic","no","yes","no","telephone","may","mon","193","1","999","0","nonexistent","no"
"81","51","blue-collar","married","basic","no","no","no","telephone","may","mon","212","1","999","0","nonexistent","no"
"82","38","admin","married","high school","no","no","no","telephone","may","mon","165","2","999","0","nonexistent","no"
"83","49","entrepreneur","married","university degree","no","yes","no","telephone","may","mon","1042","1","999","0","nonexistent","yes"
"84","38","technician","single","university degree","no","no","yes","telephone","may","mon","20","1","999","0","nonexistent","no"
"85","31","admin","divorced","high school","no","no","no","telephone","may","mon","246","1","999","0","nonexistent","no"
"86","41","management","married","basic","no","no","no","telephone","may","mon","529","2","999","0","nonexistent","no"
"87","39","admin","married","university degree","no","yes","yes","telephone","may","mon","192","1","999","0","nonexistent","no"
"88","49","technician","married","basic","no","no","no","telephone","may","mon","1467","1","999","0","nonexistent","yes"
"89","34","admin","married","high school","no","yes","no","telephone","may","mon","188","2","999","0","nonexistent","no"
"90","35","admin","married","university degree","no","yes","no","telephone","may","mon","180","2","999","0","nonexistent","no"
"91","60","admin","married","university degree","no","no","yes","telephone","may","mon","213","2","999","0","nonexistent","no"
"92","33","unemployed","married","basic","no","no","no","telephone","may","mon","545","1","999","0","nonexistent","no"
"93","42","blue-collar","married","basic","no","no","yes","telephone","may","mon","583","1","999","0","nonexistent","no"
"94","45","services","married","professional degree","no","yes","no","telephone","may","mon","221","1","999","0","nonexistent","no"
"95","42","management","married","university degree","no","no","no","telephone","may","mon","426","1","999","0","nonexistent","no"
"96","53","admin","divorced","university degree","no","no","no","telephone","may","mon","287","1","999","0","nonexistent","no"
"97","37","technician","single","professional degree","no","no","no","telephone","may","mon","197","1","999","0","nonexistent","no"
"98","44","blue-collar","married","basic","no","no","no","telephone","may","mon","257","1","999","0","nonexistent","no"
"99","54","services","married","university degree","no","yes","no","telephone","may","mon","229","1","999","0","nonexistent","no"
"100","49","blue-collar","married","basic","no","no","no","telephone","may","mon","55","3","999","0","nonexistent","no"
"101","54","services","married","university degree","no","no","no","telephone","may","mon","400","1","999","0","nonexistent","no"
"102","52","admin","divorced","university degree","no","no","no","telephone","may","mon","197","1","999","0","nonexistent","no"
"103","52","admin","divorced","university degree","no","no","no","telephone","may","mon","190","1","999","0","nonexistent","no"
"104","43","services","single","high school","no","no","no","telephone","may","mon","21","1","999","0","nonexistent","no"
"105","34","housemaid","married","basic","no","yes","no","telephone","may","mon","300","2","999","0","nonexistent","no"
"106","35","admin","married","high school","no","yes","no","telephone","may","mon","123","2","999","0","nonexistent","no"
"107","42","entrepreneur","married","university degree","no","yes","no","telephone","may","mon","293","1","999","0","nonexistent","no"
"108","43","technician","married","university degree","no","yes","yes","telephone","may","mon","325","1","999","0","nonexistent","no"
"109","60","retired","divorced","university degree","no","no","no","telephone","may","mon","514","1","999","0","nonexistent","no"
"110","58","unemployed","married","basic","no","no","no","telephone","may","mon","849","2","999","0","nonexistent","no"
"111","35","services","divorced","high school","no","yes","no","telephone","may","mon","194","1","999","0","nonexistent","no"
"112","55","blue-collar","married","basic","no","yes","no","telephone","may","mon","212","2","999","0","nonexistent","no"
"113","37","management","married","university degree","no","no","no","telephone","may","mon","337","2","999","0","nonexistent","no"
"114","36","blue-collar","married","high school","no","no","no","telephone","may","mon","286","1","999","0","nonexistent","no"
"115","52","admin","divorced","university degree","no","no","no","telephone","may","mon","247","2","999","0","nonexistent","no"
"116","57","blue-collar","divorced","university degree","no","yes","no","telephone","may","mon","518","1","999","0","nonexistent","no"
"117","56","admin","married","university degree","no","yes","no","telephone","may","mon","364","1","999","0","nonexistent","no"
"118","48","blue-collar","divorced","basic","no","yes","no","telephone","may","mon","178","1","999","0","nonexistent","no"
"119","40","blue-collar","married","high school","no","yes","no","telephone","may","mon","98","1","999","0","nonexistent","no"
"120","49","blue-collar","divorced","high school","no","no","no","telephone","may","mon","439","1","999","0","nonexistent","no"
"121","41","services","married","high school","no","no","no","telephone","may","mon","139","1","999","0","nonexistent","no"
"122","45","technician","married","high school","no","yes","no","telephone","may","mon","79","1","999","0","nonexistent","no"
"123","32","admin","married","university degree","no","yes","yes","telephone","may","mon","175","1","999","0","nonexistent","no"
"124","42","admin","married","university degree","no","no","yes","telephone","may","mon","262","2","999","0","nonexistent","no"
"125","50","admin","married","basic","no","no","no","telephone","may","mon","61","1","999","0","nonexistent","no"
"126","31","technician","divorced","professional degree","no","yes","yes","telephone","may","mon","78","1","999","0","nonexistent","no"
"127","56","retired","married","basic","no","yes","no","telephone","may","mon","102","2","999","0","nonexistent","no"
"128","41","technician","married","professional degree","no","yes","no","telephone","may","mon","579","1","999","0","nonexistent","yes"
"129","37","blue-collar","married","basic","no","yes","yes","telephone","may","mon","143","1","999","0","nonexistent","no"
"130","41","technician","married","professional degree","no","no","no","telephone","may","mon","677","1","999","0","nonexistent","no"
"131","35","blue-collar","married","university degree","no","yes","no","telephone","may","mon","267","1","999","0","nonexistent","no"
"132","37","blue-collar","married","basic","no","yes","no","telephone","may","mon","345","1","999","0","nonexistent","no"
"133","52","management","married","university degree","no","no","no","telephone","may","mon","185","1","999","0","nonexistent","no"
"134","39","management","divorced","university degree","no","no","no","telephone","may","mon","207","1","999","0","nonexistent","no"
"135","39","housemaid","married","basic","no","no","no","telephone","may","mon","69","2","999","0","nonexistent","no"
"136","56","blue-collar","married","basic","no","no","no","telephone","may","mon","100","2","999","0","nonexistent","no"
"137","34","services","married","high school","no","yes","no","telephone","may","mon","125","2","999","0","nonexistent","no"
"138","45","blue-collar","married","basic","no","yes","no","telephone","may","mon","461","1","999","0","nonexistent","yes"
"139","43","unemployed","single","university degree","no","yes","no","telephone","may","mon","240","1","999","0","nonexistent","no"
"140","56","management","married","university degree","no","yes","no","telephone","may","mon","70","1","999","0","nonexistent","no"
"141","39","management","married","university degree","no","yes","no","telephone","may","mon","193","1","999","0","nonexistent","no"
"142","53","blue-collar","married","basic","no","yes","no","telephone","may","mon","136","1","999","0","nonexistent","no"
"143","38","self-employed","divorced","high school","no","yes","no","telephone","may","mon","73","1","999","0","nonexistent","no"
"144","42","blue-collar","married","basic","no","yes","no","telephone","may","mon","528","1","999","0","nonexistent","no"
"145","42","blue-collar","married","basic","no","no","no","telephone","may","mon","541","1","999","0","nonexistent","no"
"146","35","admin","single","high school","no","yes","no","telephone","may","mon","338","1","999","0","nonexistent","no"
"147","40","admin","married","university degree","no","yes","no","telephone","may","mon","163","1","999","0","nonexistent","no"
"148","51","blue-collar","married","basic","no","yes","no","telephone","may","mon","87","1","999","0","nonexistent","no"
"149","60","blue-collar","married","basic","no","no","no","telephone","may","mon","301","1","999","0","nonexistent","no"
"150","56","entrepreneur","married","university degree","no","yes","no","telephone","may","mon","46","1","999","0","nonexistent","no"
"151","39","services","divorced","high school","no","yes","no","telephone","may","mon","52","1","999","0","nonexistent","no"
"152","56","entrepreneur","married","university degree","no","no","no","telephone","may","mon","204","1","999","0","nonexistent","no"
"153","40","blue-collar","married","university degree","no","yes","yes","telephone","may","mon","155","1","999","0","nonexistent","no"
"154","36","blue-collar","married","basic","no","yes","yes","telephone","may","mon","98","1","999","0","nonexistent","no"
"155","51","blue-collar","married","university degree","no","yes","no","telephone","may","mon","71","1","999","0","nonexistent","no"
"156","51","blue-collar","married","university degree","no","no","no","telephone","may","mon","243","1","999","0","nonexistent","no"
"157","43","technician","single","professional degree","no","yes","no","telephone","may","mon","186","2","999","0","nonexistent","no"
"158","59","services","married","high school","no","no","no","telephone","may","mon","579","2","999","0","nonexistent","no"
"159","24","management","single","university degree","no","yes","no","telephone","may","mon","165","2","999","0","nonexistent","no"
"160","37","blue-collar","single","basic","no","yes","yes","telephone","may","mon","163","2","999","0","nonexistent","no"
"161","40","blue-collar","married","basic","no","no","no","telephone","may","mon","46","1","999","0","nonexistent","no"
"162","42","blue-collar","married","basic","no","no","no","telephone","may","mon","559","3","999","0","nonexistent","no"
"163","39","services","divorced","high school","no","no","no","telephone","may","mon","2033","1","999","0","nonexistent","no"
"164","37","entrepreneur","married","basic","no","no","no","telephone","may","mon","85","1","999","0","nonexistent","no"
"165","38","services","married","high school","no","yes","yes","telephone","may","mon","506","1","999","0","nonexistent","no"
"166","56","admin","divorced","university degree","no","no","no","telephone","may","mon","114","2","999","0","nonexistent","no"
"167","40","blue-collar","married","university degree","no","no","no","telephone","may","mon","114","2","999","0","nonexistent","no"
"168","54","management","divorced","university degree","no","yes","no","telephone","may","mon","843","2","999","0","nonexistent","no"
"169","43","blue-collar","married","high school","no","no","yes","telephone","may","mon","181","1","999","0","nonexistent","no"
"170","36","services","married","high school","no","no","no","telephone","may","mon","427","1","999","0","nonexistent","no"
"171","45","technician","married","university degree","no","yes","yes","telephone","may","mon","292","1","999","0","nonexistent","no"
"172","42","admin","single","university degree","no","no","no","telephone","may","mon","192","1","999","0","nonexistent","no"
"173","43","services","married","high school","no","no","no","telephone","may","mon","93","3","999","0","nonexistent","no"
"174","46","management","married","basic","no","no","no","telephone","may","mon","128","2","999","0","nonexistent","no"
"175","44","services","married","high school","no","yes","yes","telephone","may","mon","107","1","999","0","nonexistent","no"
"176","51","admin","single","basic","no","no","no","telephone","may","mon","303","2","999","0","nonexistent","no"
"177","28","services","married","high school","no","yes","no","telephone","may","mon","81","1","999","0","nonexistent","no"
"178","37","blue-collar","married","basic","no","no","no","telephone","may","mon","270","1","999","0","nonexistent","no"
"179","34","technician","married","high school","no","no","no","telephone","may","mon","228","1","999","0","nonexistent","no"
"180","46","blue-collar","married","basic","no","yes","no","telephone","may","mon","240","1","999","0","nonexistent","no"
"181","42","blue-collar","married","basic","no","yes","yes","telephone","may","mon","673","2","999","0","nonexistent","yes"
"182","36","admin","married","university degree","no","yes","no","telephone","may","mon","233","3","999","0","nonexistent","no"
"183","54","blue-collar","married","basic","no","no","no","telephone","may","mon","102","1","999","0","nonexistent","no"
"184","57","management","married","university degree","no","no","no","telephone","may","mon","461","1","999","0","nonexistent","no"
"185","51","technician","married","basic","no","no","no","telephone","may","mon","250","1","999","0","nonexistent","no"
"186","54","retired","married","high school","no","no","no","telephone","may","mon","130","1","999","0","nonexistent","no"
"187","49","blue-collar","married","basic","no","no","no","telephone","may","mon","252","1","999","0","nonexistent","no"
"188","34","admin","married","university degree","no","yes","no","telephone","may","mon","138","1","999","0","nonexistent","no"
"189","41","technician","married","professional degree","no","no","no","telephone","may","mon","412","1","999","0","nonexistent","no"
"190","38","blue-collar","single","basic","no","yes","no","telephone","may","mon","179","2","999","0","nonexistent","no"
"191","45","management","divorced","university degree","no","no","no","telephone","may","mon","19","2","999","0","nonexistent","no"
"192","42","technician","married","university degree","no","no","no","telephone","may","mon","228","2","999","0","nonexistent","no"
"193","34","blue-collar","single","basic","no","yes","no","telephone","may","mon","55","1","999","0","nonexistent","no"
"194","48","blue-collar","married","basic","no","yes","no","telephone","may","mon","717","1","999","0","nonexistent","no"
"195","37","admin","married","high school","no","yes","no","telephone","may","mon","313","1","999","0","nonexistent","no"
"196","34","blue-collar","single","basic","no","no","no","telephone","may","mon","289","1","999","0","nonexistent","no"
"197","40","admin","married","basic","no","yes","no","telephone","may","mon","683","2","999","0","nonexistent","no"
"198","43","blue-collar","married","basic","no","yes","no","telephone","may","mon","1077","1","999","0","nonexistent","no"
"199","33","services","married","high school","no","no","no","telephone","may","mon","146","2","999","0","nonexistent","no"
"200","32","services","single","basic","no","no","no","telephone","may","mon","167","1","999","0","nonexistent","no"
"201","39","blue-collar","married","high school","no","yes","no","telephone","may","mon","356","2","999","0","nonexistent","no"
"202","43","admin","married","university degree","no","no","no","telephone","may","mon","277","1","999","0","nonexistent","no"
"203","44","blue-collar","married","basic","no","yes","no","telephone","may","mon","172","1","999","0","nonexistent","no"
"204","35","student","single","university degree","no","no","no","telephone","may","mon","218","1","999","0","nonexistent","no"
"205","35","student","single","university degree","no","yes","yes","telephone","may","mon","217","1","999","0","nonexistent","no"
"206","35","unemployed","married","professional degree","no","no","no","telephone","may","mon","67","1","999","0","nonexistent","no"
"207","36","services","single","basic","no","no","no","telephone","may","mon","291","1","999","0","nonexistent","no"
"208","35","student","single","university degree","no","yes","no","telephone","may","mon","248","1","999","0","nonexistent","no"
"209","36","student","single","basic","no","yes","no","telephone","may","mon","256","1","999","0","nonexistent","no"
"210","55","housemaid","divorced","university degree","no","no","no","telephone","may","mon","286","1","999","0","nonexistent","no"
"211","59","admin","married","university degree","no","no","no","telephone","may","mon","477","1","999","0","nonexistent","no"
"212","57","retired","married","university degree","no","no","no","telephone","may","mon","611","2","999","0","nonexistent","no"
"213","39","blue-collar","married","professional degree","no","yes","no","telephone","may","mon","471","1","999","0","nonexistent","no"
"214","39","housemaid","married","basic","no","yes","no","telephone","may","mon","381","2","999","0","nonexistent","no"
"215","30","blue-collar","single","university degree","no","yes","no","telephone","may","mon","251","1","999","0","nonexistent","no"
"216","30","blue-collar","single","university degree","no","yes","yes","telephone","may","mon","408","1","999","0","nonexistent","no"
"217","50","housemaid","married","basic","no","no","no","telephone","may","mon","287","1","999","0","nonexistent","no"
"218","40","services","married","high school","no","no","no","telephone","may","mon","322","3","999","0","nonexistent","no"
"219","35","admin","married","high school","no","yes","no","telephone","may","mon","216","2","999","0","nonexistent","no"
